state,lat,lng,2019,2018,2017,2016,2015,2014,2013,2012,2011
Alabama,32.318231,-86.902298,84013,76640,62738,61042,50369,39452,32531,7274,942
Alaska,63.588753,-154.493062,202797,206940,204302,207369,209644,200527,182530,170610,157107
Arizona,34.048928,-111.093731,194345,173226,147728,147255,187213,156702,117457,93103,69080
Arkansas,35.201050,-91.831833,46272,41490,42294,35846,24623,14641,10417,5639,4079
California,36.778261,-119.417932,3664080,3477217,3285525,3295221,3799785,3423124,2948895,2453793,2020246
Colorado,39.550051,-105.782067,1529613,1508825,1523204,1429130,1775831,1673686,1413242,1291771,1185354
Connecticut,41.603221,-73.087749,236444,209879,166848,129825,105484,72682,51457,40947,23372
Delaware,38.910832,-75.527670,317328,309269,292741,249733,248742,239625,211280,180794,153958
District of Columbia,38.905985,-77.033418,35857,33780,33025,30201,29727,20660,14889,7815,2822
Florida,27.664827,-81.515754,1401142,1374344,1408032,1255112,1207936,1128089,129946,92512,64531
Georgia,32.157435,-82.907123,514414,447096,408798,392002,365015,283153,207257,153218,129813
Hawaii,19.898682,-155.665857,85256,77614,69561,48638,40853,27760,25082,27906,24278
Idaho,44.068202,-114.742041,91819,88064,90318,71334,67597,57971,43073,30931,21700
Illinois,40.633125,-89.398528,421809,401088,385874,337582,595237,401067,136999,87993,64081
Indiana,40.551217,-85.602364,266443,249324,240063,225801,182978,158043,120828,87321,68636
Iowa,41.878003,-93.097702,141942,118415,78946,61232,54472,43310,29417,21754,19390
Kansas,39.011902,-98.484246,45846,47996,46725,51542,46288,36248,33051,27063,24350
Kentucky,37.839333,-84.270018,130940,115714,125302,102751,87156,71640,52639,36532,25611
Louisiana,31.244823,-92.145024,237721,230258,215168,216715,202764,197853,184577,169484,137121
Maine,45.253783,-69.445469,361705,350049,319590,316953,287257,289646,259654,249158,229659
Maryland,39.045755,-76.641271,301966,292596,293298,282593,258926,210778,171470,154650,123371
Massachusetts,42.407211,-71.382437,638231,609684,584895,520300,446158,372883,329413,291206,234601
Michigan,44.314844,-85.602364,903153,870027,873995,846029,769897,825103,582909,438383,356780
Minnesota,46.729553,-94.685900,644655,618756,650974,609415,631955,528643,367681,308370,170102
Mississippi,32.354668,-89.398528,25257,26123,30254,28876,30790,24725,17560,14589,13580
Missouri,37.964253,-91.831833,363383,361807,372840,368857,359864,327181,299214,268003,229648
Montana,46.879682,-110.362566,218547,203510,188449,179632,171276,155283,133465,118528,107581
Nebraska,41.492537,-99.901813,54892,52691,53655,46805,39505,33939,24467,21228,19071
Nevada,38.802610,-116.419389,87469,71692,64621,52828,64901,52684,46729,45761,27712
New Hampshire,43.193852,-71.572395,117314,107304,103329,100164,94094,79952,69164,58811,43173
New Jersey,40.058324,-74.405661,171097,142208,139562,111416,79942,67321,48996,37468,34507
New Mexico,34.972730,-105.032363,144530,126076,116023,111237,85230,77049,58247,48213,39856
New York,43.299428,-74.217933,1347435,1255317,1211494,1091826,1086718,948228,859535,724984,638110
North Carolina,35.759573,-79.019300,1296320,1230413,1211393,1269402,675469,372473,263488,159033,119253
North Dakota,47.551493,-101.002012,21225,16763,12848,11353,8452,4571,1866,858,950
Ohio,40.417287,-82.907123,1334762,1353352,1355279,1373041,1385100,1274331,1097955,980969,973804
Oklahoma,35.007752,-97.092877,79747,67542,52807,47847,34381,25425,21029,16123,11024
Oregon,43.804133,-120.554201,1012854,1021085,1078391,1149150,1081152,1039063,877891,764226,659598
Pennsylvania,41.203322,-77.194525,3606444,3705890,3724010,3905620,4059330,4074883,1788556,1626116,1547114
Rhode Island,41.580095,-71.477429,65140,47824,26295,27075,20807,18041,12218,7831,7129
South Carolina,33.836081,-81.163725,109987,97114,108211,101194,80155,56261,46900,34496,27501
South Dakota,43.969515,-99.901813,20843,18008,14057,10029,8547,4721,4008,3934,3003
Tennessee,35.517491,-86.580447,194669,183808,253782,250247,142818,121515,98508,54077,33863
Texas,31.968599,-99.901813,1180393,1153817,1156536,1165579,1135043,982918,848259,713712,624903
Utah,39.320980,-111.093731,174323,193030,206529,199220,183660,161606,130790,110025,86198
Vermont,44.558803,-72.577841,345590,333827,292479,295717,261654,243905,229062,204693,199830
Virginia,37.431573,-78.656894,344972,312593,358903,257645,274111,195957,129103,84059,61440
Washington,47.751074,-120.740139,583956,570353,510682,467270,426462,405131,333175,291107,235532
West Virginia,38.597626,-80.454903,22964,18566,12989,14682,14161,7923,5147,3752,3055
Wisconsin,43.784440,-88.787868,883648,867663,1029916,974538,1020567,850874,458706,398811,388025
Wyoming,43.075968,-107.290284,56403,52787,45401,31357,21053,18617,15863,14070,10607
Total,,,26361954,25519455,25285857,24570644,24523015,22099388,15579181,13235917,11458152
